Centro,Almacén,Material,Producto,Lote,Fecha_Produccion,Stock,Medida,Dias,Control_Calidad,Bloqueado,En_Transito,Pallet,Camion,Prioridad
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJIEA,07-10-25,4747,UN,6,0.0,0,0.0,1.14,0.06,5
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJIEB,07-10-25,15325,UN,6,0.0,0,0.0,3.67,0.18,5
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJIEC,07-10-25,5477,UN,6,0.0,0,0.0,1.31,0.07,5
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJIED,07-10-25,16203,UN,6,0.0,0,0.0,3.88,0.19,5
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJPEA,07-10-25,8693,UN,6,0.0,0,0.0,2.08,0.1,5
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J08GJIEA,08-10-25,6149,UN,5,0.0,0,0.0,1.47,0.07,6
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J08GJIEB,08-10-25,9260,UN,5,0.0,0,0.0,2.22,0.11,6
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J08GJIEC,08-10-25,9409,UN,5,0.0,0,0.0,2.25,0.11,6
P109,I93,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J08GJIED,08-10-25,3192,UN,5,0.0,0,0.0,0.76,0.04,6
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J02GJNEA,02-10-25,2483,UN,11,0.0,0,0.0,0.59,0.03,1
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J02GJNEB,02-10-25,19,UN,11,0.0,0,0.0,0.0,0.0,1
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEA,03-10-25,37,UN,10,0.0,0,0.0,0.01,0.0,2
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEB,03-10-25,19,UN,10,0.0,0,0.0,0.0,0.0,2
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEC,03-10-25,19,UN,10,0.0,0,0.0,0.0,0.0,2
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNED,03-10-25,19,UN,10,0.0,0,0.0,0.0,0.0,2
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEE,03-10-25,37,UN,10,0.0,0,0.0,0.01,0.0,2
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEA,04-10-25,31,UN,9,0.0,0,0.0,0.01,0.0,3
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEB,04-10-25,4673,UN,9,0.0,0,0.0,1.12,0.06,3
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEC,04-10-25,4199,UN,9,0.0,0,0.0,1.0,0.05,3
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNED,04-10-25,25,UN,9,0.0,0,0.0,0.01,0.0,3
P109,I93,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNEA,06-10-25,782,UN,7,0.0,0,0.0,0.19,0.01,4
