Prioridad,Material,Producto,Lote,Fecha_Produccion,Dias,Stock,Stock_Acumulado,Pallet,Camiones_Acumulados
1,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J02GJNEB,02-10-25,11,19,19,0.0,0.0
1,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J02GJNEA,02-10-25,11,2483,2502,0.59,0.03
1,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J02GJNEB,02-10-25,11,1770,4272,0.42,0.05
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEB,03-10-25,10,19,4291,0.0,0.05
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEC,03-10-25,10,19,4310,0.0,0.05
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEA,03-10-25,10,37,4347,0.01,0.05
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNED,03-10-25,10,19,4366,0.0,0.05
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEE,03-10-25,10,37,4403,0.01,0.05
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEC,03-10-25,10,537,4940,0.13,0.06
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNED,03-10-25,10,2153,7093,0.52,0.08
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEB,03-10-25,10,3830,10923,0.92,0.13
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEA,03-10-25,10,4180,15103,1.0,0.18
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEA,03-10-25,10,3375,18478,0.81,0.22
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEC,03-10-25,10,4180,22658,1.0,0.27
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEA,03-10-25,10,4180,26838,1.0,0.32
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEE,03-10-25,10,4180,31018,1.0,0.37
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEE,03-10-25,10,1304,32322,0.31,0.39
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEE,03-10-25,10,4180,36502,1.0,0.44
2,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J03GJNEE,03-10-25,10,4180,40682,1.0,0.49
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEC,04-10-25,9,2388,43070,0.57,0.52
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEA,04-10-25,9,4180,47250,1.0,0.57
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEC,04-10-25,9,4199,51449,1.0,0.62
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEA,04-10-25,9,31,51480,0.01,0.62
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEB,04-10-25,9,4673,56153,1.12,0.67
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNED,04-10-25,9,25,56178,0.01,0.67
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNED,04-10-25,9,4180,60358,1.0,0.72
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNED,04-10-25,9,3493,63851,0.84,0.76
3,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J04GJNEA,04-10-25,9,3911,67762,0.94,0.81
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNEB,06-10-25,7,4180,71942,1.0,0.86
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNEB,06-10-25,7,5699,77641,1.36,0.93
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNEA,06-10-25,7,782,78423,0.19,0.94
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNED,06-10-25,7,5220,83643,1.25,1.0
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNED,06-10-25,7,4180,87823,1.0,1.05
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNEE,06-10-25,7,19131,106954,4.58,1.28
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNEC,06-10-25,7,8739,115693,2.09,1.38
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNEB,06-10-25,7,4180,119873,1.0,1.43
4,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J06GJNEC,06-10-25,7,4180,124053,1.0,1.48
5,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJIEA,07-10-25,6,4747,128800,1.14,1.54
5,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJIEC,07-10-25,6,5477,134277,1.31,1.61
5,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJIED,07-10-25,6,16203,150480,3.88,1.8
5,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJPEA,07-10-25,6,8693,159173,2.08,1.9
5,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J07GJIEB,07-10-25,6,15325,174498,3.67,2.09
5,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J07GJNEA,07-10-25,6,13202,187700,3.16,2.25
5,920100670,JUREL FIL NATURAL PRINCES 125G EU,25J07GJNEA,07-10-25,6,4180,191880,1.0,2.3
6,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J08GJIED,08-10-25,5,3192,195072,0.76,2.33
6,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J08GJIEA,08-10-25,5,6149,201221,1.47,2.41
6,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J08GJIEB,08-10-25,5,9260,210481,2.22,2.52
6,920100669,JUREL FIL TOM PICANTE PRINCES 125G EU,25J08GJIEC,08-10-25,5,9409,219890,2.25,2.63
